design,plant,height,site,x-spacing,num-in-row,x-margin,x-centre-first,x-centre-last,y-spacing,num-rows,y-margin,y-centre-first,y-centre-last,y-row-end
2,rocket,150,short,250,4,62.5,2062.5,2812.5,250,1,125,125,125,250
2,lettuce - cos (little gem),200,short,200,5,62.5,2037.5,2837.5,250,1,125,375,375,500
2,strawberries,200,short,300,3,112.5,2137.5,2737.5,300,1,150,650,650,800
2,pak choi - autumn,250,short,250,4,62.5,2062.5,2812.5,250,1,125,925,925,1050
2,cabbage - spring,300,short,450,2,112.5,2212.5,2662.5,450,1,225,1275,1275,1500
2,carrot - chantenay,300,short,30,37,7.5,1897.5,2977.5,250,1,125,1625,1625,1750
2,carrot,300,short,30,37,7.5,1897.5,2977.5,250,1,125,1875,1875,2000
2,spring onions,300,short,250,4,62.5,2062.5,2812.5,250,1,125,2125,2125,2250
2,kohl rabi,350,short,300,3,112.5,2137.5,2737.5,300,1,150,2400,2400,2550
2,cabbage - red,400,short,300,3,112.5,2137.5,2737.5,300,1,150,2700,2700,2850
2,celery,450,short,300,3,112.5,2137.5,2737.5,300,1,150,3000,3000,3150
2,courgette,450,short,1000,1,62.5,2437.5,2437.5,1000,1,500,3650,3650,4150
2,french beans (dwarf),450,short,150,7,37.5,1987.5,2887.5,400,1,200,4350,4350,4550
2,leeks - summer/autumn,450,short,250,4,62.5,2062.5,2812.5,300,1,150,4700,4700,4850
2,leeks - winter,450,short,300,3,112.5,2137.5,2737.5,450,1,225,5075,5075,5300
2,leeks - winter (2),450,short,300,3,112.5,2137.5,2737.5,450,1,225,5525,5525,5750
2,onion - white,450,tall,100,11,12.5,62.5,1062.5,300,2,150,150,450,600
2,onion - red (winter),450,tall,100,11,12.5,62.5,1062.5,300,1,150,750,750,900
2,parsnips,450,tall,150,8,-37.5,37.5,1087.5,250,1,125,1025,1025,1150
2,squash,450,tall,600,2,-37.5,262.5,862.5,600,1,300,1450,1450,1750
2,chard,500,tall,300,4,-37.5,112.5,1012.5,350,2,175,1925,2275,2450
2,spinach - perpetual,500,tall,300,4,-37.5,112.5,1012.5,450,1,225,2675,2675,2900
2,brocolli - green sprouting,600,tall,300,4,-37.5,112.5,1012.5,450,1,225,3125,3125,3350
2,cauliflower,600,tall,600,2,-37.5,262.5,862.5,600,2,300,3650,4250,4550
2,garlic,600,tall,200,6,-37.5,62.5,1062.5,250,1,125,4675,4675,4800
2,kale,700,tall,500,2,62.5,312.5,812.5,500,1,250,5050,5050,5300
2,brocolli - calabrese,900,tall,300,4,-37.5,112.5,1012.5,450,1,225,5525,5525,5750